flag,locale,sordId,langId,subLangId
0x20[OTHER],0x1040e,0x1[OTHER],0xe[LANG_HUNGARIAN](14),0x1
0x2[OTHER],0x1040e,0x1[OTHER],0xe[LANG_HUNGARIAN](14),0x1
