0x61 a ............121
0x62 b ............42 
0x63 c ............54 
0x64 d ............66 
0x65 e ............115
0x66 f ............27 
0x67 g ............59 
0x68 h ............54 
0x69 i ............80 
0x6a j ............26 
0x6b k ............48 
0x6c l ............73 
0x6d m ............38 
0x6e n ............64 
0x6f o ............166
0x70 p ............35 
0x71 q ............30 
0x72 r ............77 
0x73 s ............67 
0x74 t ............57 
0x75 u ............111
0x76 v ............27 
0x77 w ............35 
0x78 x ............16 
0x79 y ............53 
0x7a z ............57 
