Detecting Obfuscated Command Samples1 (Win10)...
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 28% 29% 31% 32% 34% 35% 37% 38% 40% 41% 43% 44% 46% 47% 49% 50% 51% 53% 54% 56% 57% 59% 60% 62% 63% 65% 66% 68% 69% 71% 72% 74% 75% 77% 78% 80% 81% 83% 84% 86% 87% 89% 90% 92% 93% 95% 96% 98% 99% 
threshold: 0.9500000000000003, tpr:0.6981697171381032, fpr: 0.0, acc:0.867008797653959
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.5593841642228738
threshold: 0.0, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.05, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.1, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.15000000000000002, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.2, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.25, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.3, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.35, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.39999999999999997, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.44999999999999996, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.49999999999999994, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.5499999999999999, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.6, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.65, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.7000000000000001, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.7500000000000001, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.8000000000000002, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.8500000000000002, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.9000000000000002, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 0.9500000000000003, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
threshold: 1.0000000000000002, tpr:0.10715474209650583, fpr: 0.0, acc:0.6065982404692082
Robustness Testing...
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 44% 45% 47% 48% 50% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 66% 67% 69% 70% 72% 73% 75% 76% 77% 79% 80% 82% 83% 85% 86% 88% 89% 91% 92% 94% 95% 97% 98% 
0% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.4411764705882353
threshold: 0.05, tpr:1.0, fpr: 1.0, acc:0.4411764705882353
threshold: 0.1, tpr:1.0, fpr: 1.0, acc:0.4411764705882353
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.9210526315789473, acc:0.4852941176470588
threshold: 0.2, tpr:1.0, fpr: 0.6842105263157895, acc:0.6176470588235294
threshold: 0.25, tpr:1.0, fpr: 0.6842105263157895, acc:0.6176470588235294
threshold: 0.3, tpr:1.0, fpr: 0.5, acc:0.7205882352941176
threshold: 0.35, tpr:1.0, fpr: 0.34210526315789475, acc:0.8088235294117647
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.3157894736842105, acc:0.8235294117647058
threshold: 0.44999999999999996, tpr:1.0, fpr: 0.15789473684210525, acc:0.9117647058823529
threshold: 0.49999999999999994, tpr:1.0, fpr: 0.15789473684210525, acc:0.9117647058823529
threshold: 0.5499999999999999, tpr:1.0, fpr: 0.02631578947368421, acc:0.9852941176470589
threshold: 0.6, tpr:1.0, fpr: 0.02631578947368421, acc:0.9852941176470589
threshold: 0.65, tpr:1.0, fpr: 0.02631578947368421, acc:0.9852941176470589
threshold: 0.7000000000000001, tpr:1.0, fpr: 0.0, acc:1.0
threshold: 0.7500000000000001, tpr:0.9666666666666667, fpr: 0.0, acc:0.9852941176470589
threshold: 0.8000000000000002, tpr:0.9333333333333333, fpr: 0.0, acc:0.9705882352941176
threshold: 0.8500000000000002, tpr:0.8333333333333334, fpr: 0.0, acc:0.9264705882352942
threshold: 0.9000000000000002, tpr:0.7, fpr: 0.0, acc:0.8676470588235294
threshold: 0.9500000000000003, tpr:0.7, fpr: 0.0, acc:0.8676470588235294
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.5588235294117647
Point0, AvgUnknownCharCount:0.0, maxAvgAcc: 1.0, unknownOfCommandAvg: 0.0, unknownOfArgumentAvg: 0.0
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 44% 45% 47% 48% 50% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 66% 67% 69% 70% 72% 73% 75% 76% 77% 79% 80% 82% 83% 85% 86% 88% 89% 91% 92% 94% 95% 97% 98% 
0% 59% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.4880952380952381
threshold: 0.05, tpr:1.0, fpr: 0.9767441860465116, acc:0.5
threshold: 0.1, tpr:1.0, fpr: 0.9767441860465116, acc:0.5
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.9302325581395349, acc:0.5238095238095238
threshold: 0.2, tpr:1.0, fpr: 0.686046511627907, acc:0.6488095238095238
threshold: 0.25, tpr:1.0, fpr: 0.686046511627907, acc:0.6488095238095238
threshold: 0.3, tpr:1.0, fpr: 0.47674418604651164, acc:0.7559523809523809
threshold: 0.35, tpr:1.0, fpr: 0.32558139534883723, acc:0.8333333333333334
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.27906976744186046, acc:0.8571428571428571
threshold: 0.44999999999999996, tpr:1.0, fpr: 0.1511627906976744, acc:0.9226190476190477
threshold: 0.49999999999999994, tpr:1.0, fpr: 0.1511627906976744, acc:0.9226190476190477
threshold: 0.5499999999999999, tpr:1.0, fpr: 0.03488372093023256, acc:0.9821428571428571
threshold: 0.6, tpr:1.0, fpr: 0.03488372093023256, acc:0.9821428571428571
threshold: 0.65, tpr:0.9878048780487805, fpr: 0.03488372093023256, acc:0.9761904761904762
threshold: 0.7000000000000001, tpr:0.9146341463414634, fpr: 0.0, acc:0.9583333333333334
threshold: 0.7500000000000001, tpr:0.7804878048780488, fpr: 0.0, acc:0.8928571428571429
threshold: 0.8000000000000002, tpr:0.7195121951219512, fpr: 0.0, acc:0.8630952380952381
threshold: 0.8500000000000002, tpr:0.6463414634146342, fpr: 0.0, acc:0.8273809523809523
threshold: 0.9000000000000002, tpr:0.4146341463414634, fpr: 0.0, acc:0.7142857142857143
threshold: 0.9500000000000003, tpr:0.3780487804878049, fpr: 0.0, acc:0.6964285714285714
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.5119047619047619
Point1, AvgUnknownCharCount:0.60714287, maxAvgAcc: 0.9821428571428571, unknownOfCommandAvg: 0.022116189044525038, unknownOfArgumentAvg: 0.061915808507551594
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 44% 45% 47% 48% 50% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 66% 67% 69% 70% 72% 73% 75% 76% 77% 79% 80% 82% 83% 85% 86% 88% 89% 91% 92% 94% 95% 97% 98% 
0% 41% 82% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.448559670781893
threshold: 0.05, tpr:1.0, fpr: 0.9850746268656716, acc:0.4567901234567901
threshold: 0.1, tpr:1.0, fpr: 0.9850746268656716, acc:0.4567901234567901
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.8805970149253731, acc:0.51440329218107
threshold: 0.2, tpr:1.0, fpr: 0.6194029850746269, acc:0.6584362139917695
threshold: 0.25, tpr:1.0, fpr: 0.6044776119402985, acc:0.6666666666666666
threshold: 0.3, tpr:1.0, fpr: 0.44029850746268656, acc:0.757201646090535
threshold: 0.35, tpr:1.0, fpr: 0.29850746268656714, acc:0.8353909465020576
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.23880597014925373, acc:0.8683127572016461
threshold: 0.44999999999999996, tpr:1.0, fpr: 0.11940298507462686, acc:0.934156378600823
threshold: 0.49999999999999994, tpr:1.0, fpr: 0.11940298507462686, acc:0.934156378600823
threshold: 0.5499999999999999, tpr:0.963302752293578, fpr: 0.014925373134328358, acc:0.9753086419753086
threshold: 0.6, tpr:0.944954128440367, fpr: 0.014925373134328358, acc:0.9670781893004116
threshold: 0.65, tpr:0.8715596330275229, fpr: 0.014925373134328358, acc:0.934156378600823
threshold: 0.7000000000000001, tpr:0.6788990825688074, fpr: 0.0, acc:0.8559670781893004
threshold: 0.7500000000000001, tpr:0.5229357798165137, fpr: 0.0, acc:0.7860082304526749
threshold: 0.8000000000000002, tpr:0.48623853211009177, fpr: 0.0, acc:0.7695473251028807
threshold: 0.8500000000000002, tpr:0.4036697247706422, fpr: 0.0, acc:0.7325102880658436
threshold: 0.9000000000000002, tpr:0.3211009174311927, fpr: 0.0, acc:0.6954732510288066
threshold: 0.9500000000000003, tpr:0.3119266055045872, fpr: 0.0, acc:0.691358024691358
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.551440329218107
Point2, AvgUnknownCharCount:1.2633744, maxAvgAcc: 0.9753086419753086, unknownOfCommandAvg: 0.04585297128272737, unknownOfArgumentAvg: 0.11272066852281772
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 44% 45% 47% 48% 50% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 66% 67% 69% 70% 72% 73% 75% 76% 77% 79% 80% 82% 83% 85% 86% 88% 89% 91% 92% 94% 95% 97% 98% 
0% 37% 74% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.4349442379182156
threshold: 0.05, tpr:1.0, fpr: 0.9868421052631579, acc:0.4423791821561338
threshold: 0.1, tpr:1.0, fpr: 0.9868421052631579, acc:0.4423791821561338
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.8486842105263158, acc:0.5204460966542751
threshold: 0.2, tpr:1.0, fpr: 0.6052631578947368, acc:0.6579925650557621
threshold: 0.25, tpr:1.0, fpr: 0.5921052631578947, acc:0.6654275092936803
threshold: 0.3, tpr:1.0, fpr: 0.4605263157894737, acc:0.7397769516728625
threshold: 0.35, tpr:1.0, fpr: 0.29605263157894735, acc:0.8327137546468402
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.23026315789473684, acc:0.8698884758364313
threshold: 0.44999999999999996, tpr:1.0, fpr: 0.11842105263157894, acc:0.9330855018587361
threshold: 0.49999999999999994, tpr:1.0, fpr: 0.11842105263157894, acc:0.9330855018587361
threshold: 0.5499999999999999, tpr:0.9230769230769231, fpr: 0.013157894736842105, acc:0.9591078066914498
threshold: 0.6, tpr:0.905982905982906, fpr: 0.013157894736842105, acc:0.9516728624535316
threshold: 0.65, tpr:0.7948717948717948, fpr: 0.013157894736842105, acc:0.9033457249070632
threshold: 0.7000000000000001, tpr:0.6324786324786325, fpr: 0.0, acc:0.8401486988847584
threshold: 0.7500000000000001, tpr:0.5213675213675214, fpr: 0.0, acc:0.79182156133829
threshold: 0.8000000000000002, tpr:0.452991452991453, fpr: 0.0, acc:0.7620817843866171
threshold: 0.8500000000000002, tpr:0.4017094017094017, fpr: 0.0, acc:0.7397769516728625
threshold: 0.9000000000000002, tpr:0.2905982905982906, fpr: 0.0, acc:0.6914498141263941
threshold: 0.9500000000000003, tpr:0.26495726495726496, fpr: 0.0, acc:0.6802973977695167
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.5650557620817844
Point3, AvgUnknownCharCount:1.7286246, maxAvgAcc: 0.9591078066914498, unknownOfCommandAvg: 0.06078774238064005, unknownOfArgumentAvg: 0.14471987356113603
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 44% 45% 47% 48% 50% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 66% 67% 69% 70% 72% 73% 75% 76% 77% 79% 80% 82% 83% 85% 86% 88% 89% 91% 92% 94% 95% 97% 98% 
0% 33% 66% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.44481605351170567
threshold: 0.05, tpr:1.0, fpr: 0.9819277108433735, acc:0.45484949832775917
threshold: 0.1, tpr:1.0, fpr: 0.9698795180722891, acc:0.46153846153846156
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.8614457831325302, acc:0.5217391304347826
threshold: 0.2, tpr:1.0, fpr: 0.5963855421686747, acc:0.6688963210702341
threshold: 0.25, tpr:1.0, fpr: 0.5783132530120482, acc:0.6789297658862876
threshold: 0.3, tpr:1.0, fpr: 0.4457831325301205, acc:0.7525083612040134
threshold: 0.35, tpr:1.0, fpr: 0.27710843373493976, acc:0.8461538461538461
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.21686746987951808, acc:0.8795986622073578
threshold: 0.44999999999999996, tpr:0.9924812030075187, fpr: 0.12048192771084337, acc:0.9297658862876255
threshold: 0.49999999999999994, tpr:0.9924812030075187, fpr: 0.12048192771084337, acc:0.9297658862876255
threshold: 0.5499999999999999, tpr:0.8872180451127819, fpr: 0.012048192771084338, acc:0.9431438127090301
threshold: 0.6, tpr:0.8571428571428571, fpr: 0.012048192771084338, acc:0.9297658862876255
threshold: 0.65, tpr:0.6766917293233082, fpr: 0.012048192771084338, acc:0.8494983277591973
threshold: 0.7000000000000001, tpr:0.5939849624060151, fpr: 0.0, acc:0.8193979933110368
threshold: 0.7500000000000001, tpr:0.46616541353383456, fpr: 0.0, acc:0.7625418060200669
threshold: 0.8000000000000002, tpr:0.39849624060150374, fpr: 0.0, acc:0.7324414715719063
threshold: 0.8500000000000002, tpr:0.3233082706766917, fpr: 0.0, acc:0.6989966555183946
threshold: 0.9000000000000002, tpr:0.23308270676691728, fpr: 0.0, acc:0.6588628762541806
